Fälligkeitsdatum;Ausgleichsdatum;Abrechnungsperiode;Abrechnungsdatum;Positionstext;Nummer Kreditor;Name Buchungspartner;UStID;Land;Kontonummer;Kontoname;Nummer Verkaufsstelle;Belegart;Belegdatum;Eingangsperiode;Belegnummer;Bruttobetrag in Belegwährung;Belegwährung;Bruttobetrag in Zahlwährung;Zahlwährung;Max. Skontosatz;Skontobasis in Belegwährung;Skonto Umsatzsteuersatz;Skonto in Zahlwährung;Skontobasis in Zahlwährung;Skonto Umsatzsteuer in Zahlwährung;Zahlbetrag in Zahlwährung;Umsatzsteuersatz;Warengruppe;Postentyp;Prüfkennzeichen;Prüfkommentar;Prüfer;Prüfungsdatum;Portaleingangsdatum
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;23.02.2021;2021-06;01-3880779;404,00;CHF;404,00;CHF;3,000;404,00;0,000;-12,12;404,00;0,00;391,88;7,700;Ware;;;;;;24.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612995;2647,85;CHF;2647,85;CHF;2,000;2647,85;0,000;-52,96;2647,85;0,00;2594,89;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612994;2032,30;CHF;2032,30;CHF;2,000;2032,30;0,000;-40,65;2032,30;0,00;1991,65;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612993;6831,35;CHF;6831,35;CHF;2,000;6831,35;0,000;-136,63;6831,35;0,00;6694,72;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612992;3638,90;CHF;3638,90;CHF;2,000;3638,90;0,000;-72,78;3638,90;0,00;3566,12;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612991;1762,25;CHF;1762,25;CHF;2,000;1762,25;0,000;-35,25;1762,25;0,00;1727,00;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612990;3604,45;CHF;3604,45;CHF;2,000;3604,45;0,000;-72,09;3604,45;0,00;3532,36;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612989;1858,35;CHF;1858,35;CHF;2,000;1858,35;0,000;-37,17;1858,35;0,00;1821,18;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612988;1611,20;CHF;1611,20;CHF;2,000;1611,20;0,000;-32,22;1611,20;0,00;1578,98;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612987;3604,55;CHF;3604,55;CHF;2,000;3604,55;0,000;-72,09;3604,55;0,00;3532,46;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001300 Chris Sports AG;1790001300;Chris Sports AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;22.02.2021;2021-06;12612986;3638,80;CHF;3638,80;CHF;2,000;3638,80;0,000;-72,78;3638,80;0,00;3566,02;7,700;Ware;;;;;;27.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781526;1464,15;CHF;1464,15;CHF;3,000;1464,15;0,000;-43,92;1464,15;0,00;1420,23;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781525;1605,54;CHF;1605,54;CHF;3,000;1605,54;0,000;-48,17;1605,54;0,00;1557,37;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781524;4401,57;CHF;4401,57;CHF;3,000;4401,57;0,000;-132,05;4401,57;0,00;4269,52;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781523;2659,92;CHF;2659,92;CHF;3,000;2659,92;0,000;-79,80;2659,92;0,00;2580,12;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781471;2898,59;CHF;2898,59;CHF;3,000;2898,59;0,000;-86,96;2898,59;0,00;2811,63;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781464;3906,01;CHF;3906,01;CHF;3,000;3906,01;0,000;-117,18;3906,01;0,00;3788,83;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5781463;1639,09;CHF;1639,09;CHF;3,000;1639,09;0,000;-49,17;1639,09;0,00;1589,92;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5000473;4239,55;CHF;4239,55;CHF;3,000;4239,55;0,000;-127,19;4239,55;0,00;4112,36;7,700;Ware;;;;;;03.03.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.02.2021;2021-06;5000472;4710,64;CHF;4710,64;CHF;3,000;4710,64;0,000;-141,32;4710,64;0,00;4569,32;7,700;Ware;;;;;;03.03.2021
;11.03.2021;2021-06;10.03.2021;1790003298 MAYA TROPIC S.L.;1790003298;MAYA TROPIC S.L.;ESB53357331;ES;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;17.02.2021;2021-06;0210.035;-16899,30;EUR;-18800,81;CHF;3,000;-16899,30;0,000;564,02;-18800,81;0,00;-18236,79;0,000;Ware;;;;;;04.03.2021
;11.03.2021;2021-06;10.03.2021;1790003298 MAYA TROPIC S.L.;1790003298;MAYA TROPIC S.L.;ESB53357331;ES;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;17.02.2021;2021-06;0210.035;16899,30;EUR;18800,81;CHF;3,000;16899,30;0,000;-564,02;18800,81;0,00;18236,79;0,000;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000304;3683,24;CHF;3683,24;CHF;3,000;3683,24;0,000;-110,50;3683,24;0,00;3572,74;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000303;4035,64;CHF;4035,64;CHF;3,000;4035,64;0,000;-121,07;4035,64;0,00;3914,57;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000302;3821,24;CHF;3821,24;CHF;3,000;3821,24;0,000;-114,64;3821,24;0,00;3706,60;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000301;1122,32;CHF;1122,32;CHF;3,000;1122,32;0,000;-33,67;1122,32;0,00;1088,65;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000300;4082,56;CHF;4082,56;CHF;3,000;4082,56;0,000;-122,48;4082,56;0,00;3960,08;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000299;4318,05;CHF;4318,05;CHF;3,000;4318,05;0,000;-129,54;4318,05;0,00;4188,51;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000298;4318,05;CHF;4318,05;CHF;3,000;4318,05;0,000;-129,54;4318,05;0,00;4188,51;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000297;2889,17;CHF;2889,17;CHF;3,000;2889,17;0,000;-86,68;2889,17;0,00;2802,49;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000296;4333,78;CHF;4333,78;CHF;3,000;4333,78;0,000;-130,01;4333,78;0,00;4203,77;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000295;3454,48;CHF;3454,48;CHF;3,000;3454,48;0,000;-103,63;3454,48;0,00;3350,85;7,700;Ware;;;;;;19.02.2021
